# ESP32-C3 (Wokwi) run 3, 2026-08-08. Firmware carries: circular allocator,
# segment headers, counter-preserving reclaim checkpoint, observed-size
# reserve_headroom, padding_bytes accounting bucket.
# Workload: single key "async_test_key" (14 B) + value "async_test_value" (16 B)
# overwritten continuously; b_commit=8; explicit epoch seal every 1000 records.
# Region: 2 MiB at 0x100000, 31 segments of 8 data blocks (32768 B) each.
n_records,epoch,hot_head,cold_head,free_to_end,segs_free,segs_total,segs_sealed,user_bytes,gc_bytes,parity_bytes,marker_bytes,ckpt_bytes,erases,wa_padding_inclusive
1000,2,892672,589824,1204480,24,31,5,74000,0,32000,64000,33024,21,3.0408
2000,3,1146112,589824,951040,19,31,10,148000,0,64000,128000,66048,42,3.0408
3000,4,1399552,589824,697600,14,31,15,222000,0,96000,192000,99072,63,3.0408
4000,5,1671424,589824,425728,8,31,21,296000,0,128000,256000,132096,84,3.0408
5000,6,1924864,589824,172288,3,31,26,370000,0,160000,320000,165120,105,3.0408
6000,7,802048,589824,1295104,3,31,26,444000,0,192000,384000,198144,186,3.0408
7000,8,809728,589824,1287424,3,31,26,518000,0,224000,448000,231168,267,3.0408
8000,9,835840,589824,1261312,3,31,26,592000,0,256000,512000,264192,360,3.0408
9000,10,794368,589824,1302784,3,31,26,666000,0,288000,576000,297216,441,3.0408
10000,11,802048,589824,1295104,3,31,26,740000,0,320000,640000,330240,522,3.0408
11000,12,809728,589824,1287424,3,31,26,814000,0,352000,704000,363264,603,3.0408
12000,13,884992,589824,1212160,3,31,26,888000,0,384000,768000,396288,696,3.0408
13000,14,794368,589824,1302784,3,31,26,962000,0,416000,832000,429312,777,3.0408
14000,15,802048,589824,1295104,3,31,26,1036000,0,448000,896000,462336,858,3.0408
15000,16,809728,589824,1287424,3,31,26,1110000,0,480000,960000,495360,939,3.0408
16000,17,884992,589824,1212160,3,31,26,1184000,0,512000,1024000,528384,1032,3.0408
17000,18,794368,589824,1302784,3,31,26,1258000,0,544000,1088000,561408,1113,3.0408
18000,19,802048,589824,1295104,3,31,26,1332000,0,576000,1152000,594432,1194,3.0408
19000,20,809728,589824,1287424,3,31,26,1406000,0,608000,1216000,627456,1275,3.0408
20000,21,884992,589824,1212160,3,31,26,1480000,0,640000,1280000,660480,1368,3.0408
