# file: energy_batch.csv  generated: 2026-07-29T12:06:04Z
# command: cargo run --release -p slate-kv-sim --bin paper_energy_batch
# source: crates/slate-kv-sim/src/bin/paper_energy_batch.rs  git_head: 970324f20f3fc7d7df4249c4d51122f9a1a5e61c (clean tree except new untracked examples)  workspace_version: 0.4.0
# toolchain: cargo 1.97.1 (c980f4866 2026-06-30)
# host: macOS 26.5.2 / arm64 / 12 cores / 24 GiB
# backend: SimFlash -- in-RAM NOR-flash SIMULATOR (slate-kv-sim). This is simulation, not silicon.
# ENERGY IS AN ESTIMATE FROM A PARAMETERISED MODEL, NOT A MEASUREMENT. Flash traffic (bytes
#   programmed, erases, wakes, commits) is measured; joules are those counts multiplied through
#   slate_kv_sim::power::PowerModel, whose PowerReport labels its own output "ESTIMATED".
#   No power meter and no board are attached: J/op on real hardware is NOT measurable here.
# ESTIMATE, NOT A MEASUREMENT OF SILICON. Flash traffic (bytes, erases, wakes, commits) is measured from the SimFlash in-RAM NOR simulator and the engine Metrics; joules are those counts times the parameterised power model, which labels its own output "ESTIMATED". No power meter, no board: J/op on real hardware is not measurable here.
# power model (read from PowerModel::default() at runtime): beta_nj_per_byte=200 erase_uj_per_block=5000 wake_uj=1000 cpu_nj_per_cycle_q10=1024 aead_cycles_per_byte=24
# geometry: SimFlash capacity=8388608 page=256 block=4096 profile=Pi auto_b=false n_keys=2048 val_len=16 n_distinct_keys=1000 n_ops=4000 b_commit=1..=128 deterministic=yes reps=1
# e_report_* uses power::report()'s byte total (user+gc+parity+ckpt) which OMITS marker_bytes -- power::Stats has no such field. e_full_* applies the same constants to SimFlash bytes_programmed, the ground-truth count of bytes actually programmed, markers included. The omitted term is a 1/B term, so it matters most at small B.
# CAVEAT, engine bug found while measuring: user_bytes is DOUBLE-COUNTED. Slate::append_hot adds (REC_OVERHEAD+key+val) and sim_db::put adds it again for the same record, so every user_bytes here (and any write amplification derived from it) is exactly 2x too large. slate-kv/src/db.rs::put has the identical duplication. e_report_* inherits the error; e_full_* does not, since it reads physical bytes from the simulator. Verified this run by the user_bytes/(n_ops*(REC_OVERHEAD+8+VAL_LEN)) ratio asserted below.
# CAVEAT: report_bytes counts logical record bytes while full_bytes counts programmed PAGES. Records are packed into 256 B pages, so full_bytes is a step function of B and the e_full_* curve is a sawtooth on top of the 1/B trend, not smooth. marker_gap_bytes is therefore not a clean marker-only residual: it mixes the missing marker term with page quantization and with the double-count above, and goes negative once the double-counted user term exceeds the marker term.
#
# This file contains four labelled sections, each with its own header row:
#   [sweep]  one row per b_commit in 1..=128 -- flash traffic and modelled energy per acked op
#   [user_bytes_double_count_check]  numeric proof of the user_bytes accounting bug (ratio 2.0)
#   [fit]  OLS fit of E(B) = A/B + P, giving the fixed per-commit cost A
#   [bstar]  predicted B* = sqrt(2*lambda*A/c) vs the empirical argmin, over a c grid
[sweep]
b_commit,commits,wakes,erases,acked_ops,realized_ops_per_commit,user_bytes,gc_bytes,parity_bytes,ckpt_bytes,marker_bytes_derived,report_bytes,full_bytes,e_report_nj_per_op,e_full_nj_per_op
1,4000,4000,0,4000,1.0000,544000,0,1024000,0,2048000,1568000,4096000,1087808.000,1229376.000
2,2000,2000,0,4000,2.0000,544000,0,512000,0,1024000,1056000,2048000,559136.000,614688.000
3,1333,1333,0,3999,3.0000,544000,0,341248,0,682496,885248,1364992,382919.618,409792.000
4,1000,1000,0,4000,4.0000,544000,0,256000,0,512000,800000,1280000,294800.000,321680.000
5,800,800,0,4000,5.0000,544000,0,204800,0,409600,748800,1024000,241932.800,257344.000
6,666,666,0,3996,6.0000,544000,0,170496,0,340992,714496,852480,206718.494,214453.333
7,571,571,0,3997,7.0000,544000,0,146176,0,292352,690176,730880,181536.008,183817.143
8,500,500,0,4000,8.0000,544000,0,128000,0,256000,672000,768000,162632.000,168008.000
9,444,444,0,3996,9.0000,544000,0,113664,0,227328,657664,681984,147977.161,149340.444
10,400,400,0,4000,10.0000,544000,0,102400,0,204800,646400,614400,136198.400,134406.400
11,363,363,0,3993,11.0000,544000,0,92928,0,185856,636928,557568,126639.587,122187.636
12,333,333,0,3996,12.0000,544000,0,85248,0,170496,629248,596736,118606.494,116784.000
13,307,307,0,3991,13.0000,544000,0,78592,0,157184,622592,550144,111866.852,107800.615
14,285,285,0,3990,14.0000,544000,0,72960,0,145920,616960,510720,106064.922,100100.571
15,266,266,0,3990,15.0000,544000,0,68096,0,136192,612096,476672,101029.951,93427.200
16,250,250,0,4000,16.0000,544000,0,64000,0,128000,608000,512000,96548.000,91172.000
17,235,235,0,3995,17.0000,544000,0,60160,0,120320,604160,481280,92698.834,85808.941
18,222,222,0,3996,18.0000,544000,0,56832,0,113664,600832,454656,89235.828,81041.778
19,210,210,0,3990,19.0000,544000,0,53760,0,107520,597760,483840,86190.035,79794.526
20,200,200,0,4000,20.0000,544000,0,51200,0,102400,595200,460800,83331.200,75804.800
21,190,190,0,3990,21.0000,544000,0,48640,0,97280,592640,437760,80890.065,72195.048
22,181,181,0,3982,22.0000,544000,0,46336,0,92672,590336,417024,78662.799,68913.455
23,173,173,0,3979,23.0000,544000,0,44288,0,88576,588288,442880,76596.258,68410.435
24,166,166,0,3984,24.0000,544000,0,42496,0,84992,586496,424960,74642.345,65560.000
25,160,160,0,4000,25.0000,544000,0,40960,0,81920,584960,409600,72757.760,62937.600
26,153,153,0,3978,26.0000,544000,0,39168,0,78336,583168,391680,71299.556,60516.923
27,148,148,0,3996,27.0000,544000,0,37888,0,75776,581888,416768,69655.383,60399.407
28,142,142,0,3976,28.0000,544000,0,36352,0,72704,580352,399872,68410.173,58242.286
29,137,137,0,3973,29.0000,544000,0,35072,0,70144,579072,385792,67131.167,56233.931
30,133,133,0,3990,30.0000,544000,0,34048,0,68096,578048,374528,65785.151,54359.467
31,129,129,0,3999,31.0000,544000,0,33024,0,66048,577024,396288,64579.489,54455.742
32,125,125,0,4000,32.0000,544000,0,32000,0,64000,576000,384000,63506.000,52754.000
33,121,121,0,3993,33.0000,544000,0,30976,0,61952,574976,371712,62558.133,51155.394
34,117,117,0,3978,34.0000,544000,0,29952,0,59904,573952,389376,61730.832,51337.412
35,114,114,0,3990,35.0000,544000,0,29184,0,58368,573184,379392,60750.179,49870.629
36,111,111,0,3996,36.0000,544000,0,28416,0,56832,572416,369408,59865.161,48485.333
37,108,108,0,3996,37.0000,544000,0,27648,0,55296,571648,359424,59071.359,47174.919
38,105,105,0,3990,38.0000,544000,0,26880,0,53760,570880,376320,58365.193,47442.526
39,102,102,0,3978,39.0000,544000,0,26112,0,52224,570112,365568,57743.863,46226.051
40,100,100,0,4000,40.0000,544000,0,25600,0,51200,569600,358400,56897.600,45070.400
41,97,97,0,3977,41.0000,544000,0,24832,0,49664,568832,347648,56429.059,43971.122
42,95,95,0,3990,42.0000,544000,0,24320,0,48640,568320,364800,55715.208,44289.524
43,93,93,0,3999,43.0000,544000,0,23808,0,47616,567808,357120,55061.013,43259.535
44,90,90,0,3960,44.0000,544000,0,23040,0,46080,567040,345600,54802.263,42276.364
45,88,88,0,3960,45.0000,544000,0,22528,0,45056,566528,337920,54268.251,41336.889
46,86,86,0,3956,46.0000,544000,0,22016,0,44032,566016,352256,53788.570,41684.870
47,85,85,0,3995,47.0000,544000,0,21760,0,43520,565760,348160,52998.809,40797.957
48,83,83,0,3984,48.0000,544000,0,21248,0,42496,565248,339968,52614.345,39948.000
49,81,81,0,3969,49.0000,544000,0,20736,0,41472,564736,352512,52280.389,40303.020
50,80,80,0,4000,50.0000,544000,0,20480,0,40960,564480,348160,51610.880,39496.960
51,78,78,0,3978,51.0000,544000,0,19968,0,39936,563968,339456,51364.714,38722.510
52,76,76,0,3952,52.0000,544000,0,19456,0,38912,563456,330752,51167.547,37977.846
53,75,75,0,3975,53.0000,544000,0,19200,0,38400,563200,345600,50605.484,38343.245
54,74,74,0,3996,54.0000,544000,0,18944,0,37888,562944,340992,50074.939,37633.185
55,72,72,0,3960,55.0000,544000,0,18432,0,36864,562432,331776,49996.154,36948.945
56,71,71,0,3976,56.0000,544000,0,18176,0,36352,562176,327168,49529.030,36289.143
57,70,70,0,3990,57.0000,544000,0,17920,0,35840,561920,340480,49090.246,36658.526
58,68,68,0,3944,58.0000,544000,0,17408,0,34816,561408,330752,49126.621,36026.483
59,67,67,0,3953,59.0000,544000,0,17152,0,34304,561152,325888,48747.293,35415.864
60,66,66,0,3960,60.0000,544000,0,16896,0,33792,560896,321024,48394.117,34825.600
61,65,65,0,3965,61.0000,544000,0,16640,0,33280,560640,332800,48066.421,35194.754
62,64,64,0,3968,62.0000,544000,0,16384,0,32768,560384,327680,47763.613,34627.097
63,63,63,0,3969,63.0000,544000,0,16128,0,32256,560128,322560,47485.178,34077.460
64,62,62,0,3968,64.0000,544000,0,15872,0,31744,559872,317440,47230.677,33545.000
65,61,61,0,3965,65.0000,544000,0,15616,0,31232,559616,327936,46999.744,33911.138
66,60,60,0,3960,66.0000,544000,0,15360,0,30720,559360,322560,46792.081,33397.333
67,59,59,0,3953,67.0000,544000,0,15104,0,30208,559104,317184,46607.462,32898.866
68,58,58,0,3944,68.0000,544000,0,14848,0,29696,558848,326656,46445.728,33258.353
