# SLATE paper measurement: partial-key cuckoo index cost (load factor, bytes/key, probes, fingerprint collisions, stash)
# cmd=cargo run --release -p slate-kv-core --example paper_index
# source=crates/slate-kv-core/examples/paper_index.rs (added this session)
# constants (crates/slate-kv-core/src/config.rs @ HEAD 970324f): BUCKET_SLOTS=4 STASH_SIZE=8 FP_BITS=8 OFF_BITS=24
#   MAX_KICKS=500 N_BUCKETS=2048 (compile-time default) MAX_INDEX_SLOTS=65536
# platform=macOS 26.5.2 / arm64 / 12 cores / 24 GiB. Pure in-RAM computation on the real Index type: NO flash, NO
#   simulator, NO device. Byte counts are u32-slot arithmetic and so are identical on the 32-bit targets; the
#   load-factor / probe / collision counts are hardware-independent.
# 8 RNG seeds x 7 table sizes x 2 key families = 112 rows. Each row: fill to first insertion failure, then refill a
#   fresh table to floor(0.95*capacity) and measure every stored key plus 200000 absent keys.
# KEY FAMILIES matter and are NOT interchangeable: fingerprint() is the top byte of FNV-1a, whose high bits are
#   mixed only through the multiply chain. key_family=sequential (tag|seed|little-endian ordinal, i.e. what an
#   application writing sensor_%06d keys produces) leaves the high ordinal bytes constant and yields a SKEWED
#   fingerprint distribution -- its collision rate is not comparable to the uniform 2b*2^-f bound and one seed
#   (seed=13) reaches 0.177 at n_buckets=16384. key_family=mixed passes the ordinal through a SplitMix64 bijection
#   first and is the uniform population the bound assumes. Compare the bound against key_family=mixed.
# bounds: probes_bound = 2*BUCKET_SLOTS + STASH_SIZE = 16 (candidates() scans both buckets and the whole stash
#   unconditionally, so probes are EXACTLY 16 for every lookup -- mean = max = worst case, not a bound that is
#   merely respected). fp_bound_2b = 2b*2^-f = 0.03125. fp_bound_realized_occupancy and
#   fp_bound_measured_distribution recompute that bound using the MEASURED occupied-slot count and the MEASURED
#   fingerprint histograms respectively; they are the honest comparators.
# fp_rate_present counts lookups of a STORED key whose candidate set contains an offset belonging to a different
#   key; fp_rate_absent counts lookups of a never-inserted key returning any candidate at all. Both come with
#   Wilson 95% intervals (fp_ci_lo_*/fp_ci_hi_*).
# index_ram_bytes = arena_bytes + size_of::<Index>() measured on riscv32imc (80 B); the arena is the dominant term.
# See ram_working_set.csv for the full engine working set and the 64 KiB budget arithmetic.
key_family,n_buckets,n_slots,arena_bytes,stash_ram_bytes,index_ram_bytes,seed,table_capacity,keys_at_first_failure,alpha_at_failure,stash_occ_at_failure,arena_bytes_per_key_at_failure,index_bytes_per_key_at_failure,alpha095_target_keys,alpha095_all_inserted,keys_at_alpha095,stash_occ_at_alpha095,arena_bytes_per_key_at_alpha095,lookups_total,probes_mean,probes_max,probes_bound,cand_mean_present,cand_max_present,fp_lookups_present,fp_hits_present,fp_rate_present,fp_ci_lo_present,fp_ci_hi_present,fp_extra_per_lookup_present,fp_lookups_absent,fp_hits_absent,fp_rate_absent,fp_ci_lo_absent,fp_ci_hi_absent,fp_extra_per_lookup_absent,occupied_slots_per_absent_lookup,fp_bound_2b,fp_bound_realized_occupancy,fp_distinct_stored,fp_distinct_absent,fp_match_prob_measured,fp_bound_measured_distribution
sequential,256,1024,4096,64,4192,1,1024,1032,1.007812,8,3.969,4.062,972,1,972,0,4.214,200972,16.0,16,16,1.026749,2,972,26,0.02674897,0.01831861,0.0389053,0.026749,200000,5785,0.028925,0.02819949,0.0296686,0.02931,7.59436,0.03125,0.02928616,202,255,0.00392811,0.02944791
sequential,256,1024,4096,64,4192,2,1024,1032,1.007812,8,3.969,4.062,972,1,972,0,4.214,200972,16.0,16,16,1.022634,2,972,22,0.02263374,0.0149938,0.03403205,0.022634,200000,5973,0.029865,0.029128,0.03062006,0.030245,7.593665,0.03125,0.02928352,204,255,0.00392505,0.02942265
sequential,256,1024,4096,64,4192,3,1024,1032,1.007812,8,3.969,4.062,972,1,972,0,4.214,200972,16.0,16,16,1.024691,2,972,24,0.02469136,0.0166478,0.03647707,0.024691,200000,6005,0.030025,0.02928606,0.03078199,0.03041,7.593925,0.03125,0.02928451,204,255,0.00393819,0.02952089
sequential,256,1024,4096,64,4192,5,1024,1032,1.007812,8,3.969,4.062,972,1,972,0,4.214,200972,16.0,16,16,1.022634,2,972,22,0.02263374,0.0149938,0.03403205,0.022634,200000,5766,0.02883,0.02810566,0.02957243,0.029145,7.59337,0.03125,0.0292824,203,255,0.00393552,0.02949897
sequential,256,1024,4096,64,4192,8,1024,1032,1.007812,8,3.969,4.062,972,1,972,0,4.214,200972,16.0,16,16,1.014403,2,972,14,0.01440329,0.00859886,0.02403089,0.014403,200000,5794,0.02897,0.02824394,0.02971416,0.029195,7.59252,0.03125,0.02927917,200,255,0.00391606,0.02935179
sequential,256,1024,4096,64,4192,13,1024,1032,1.007812,8,3.969,4.062,972,1,972,0,4.214,200972,16.0,16,16,1.028807,2,972,28,0.02880658,0.02000441,0.04131852,0.028807,200000,5870,0.02935,0.02861927,0.03009881,0.029745,7.594565,0.03125,0.02928694,201,255,0.0039433,0.02956109
sequential,256,1024,4096,64,4192,21,1024,1032,1.007812,8,3.969,4.062,972,1,972,0,4.214,200972,16.0,16,16,1.022634,2,972,22,0.02263374,0.0149938,0.03403205,0.022634,200000,5761,0.028805,0.02808097,0.02954713,0.02912,7.59363,0.03125,0.02928339,202,255,0.00393291,0.02948063
sequential,256,1024,4096,64,4192,34,1024,1032,1.007812,8,3.969,4.062,972,1,972,0,4.214,200972,16.0,16,16,1.016461,2,972,16,0.01646091,0.01015732,0.02657145,0.016461,200000,6128,0.03064,0.02989367,0.03140436,0.030925,7.59333,0.03125,0.02928225,204,255,0.00393026,0.02945992
sequential,512,2048,8192,64,8288,1,2048,2049,1.000488,8,3.998,4.0449,1945,1,1945,0,4.2118,201945,16.0,16,16,1.018509,2,1945,36,0.018509,0.01339925,0.02551693,0.018509,200000,5608,0.02804,0.0273255,0.02877263,0.02835,7.597285,0.03125,0.02929727,219,255,0.00393174,0.02948598
sequential,512,2048,8192,64,8288,2,2048,2048,1.0,8,4.0,4.0469,1945,1,1945,0,4.2118,201945,16.0,16,16,1.020566,2,1945,40,0.02056555,0.015139,0.02788218,0.020566,200000,5885,0.029425,0.02869335,0.03017472,0.029725,7.5966,0.03125,0.02929467,219,255,0.00393106,0.02947834
