# file: throughput.csv  generated: 2026-07-29T12:06:04Z
# commands: cargo run --release -p slate-kv --example paper_throughput   (sections [per_run] and [summary_by_b_commit])
#           cargo run --release -p slate-kv --example paper_flash_calib   (section [flash_barrier_calibration])
# source: crates/slate-kv/examples/paper_throughput.rs, crates/slate-kv/examples/paper_flash_calib.rs
# git_head: 970324f20f3fc7d7df4249c4d51122f9a1a5e61c (clean tree except new untracked examples)  workspace_version: 0.4.0
# toolchain: cargo 1.97.1 (c980f4866 2026-06-30)
# host: macOS 26.5.2 / arm64 / 12 cores / 24 GiB
#
# PLATFORM WARNING: backend is FileFlash, a FILE-BACKED EMULATION of NOR flash on this host's
#   APFS filesystem. A 'program' is a read-back check plus a pwrite plus a durability barrier;
#   an 'erase' is a 0xFF overwrite. This is NOT Raspberry Pi silicon, NOT an ESP32, and NOT real
#   NOR flash. Absolute latencies and ops/s characterise THIS host. Only the shape of the curve
#   versus b_commit, and the commit/non-commit structure, transfer to a device.
#
# HEADLINE FINDING, and the reason section [flash_barrier_calibration] exists:
#   the two Durability modes are INDISTINGUISHABLE on this platform. Durability::OsCache calls
#   Rust's File::sync_data(), which on Darwin costs the same as fcntl(F_FULLFSYNC) (~8.0 ms p50
#   per 256 B page, both modes) -- while a raw libc::fsync on the same file is ~0.19 ms p50 and a
#   barrier-free pwrite is ~3 us p50. So OsCache is NOT the cheap barrier its name and the
#   'benchmark-only' comment in pi_bench.rs imply, on macOS. Any Full-vs-OsCache difference in
#   the rows below is run-to-run noise, not a durability effect. On Linux, flush_durable() takes
#   the #[cfg(not(target_os = "macos"))] branch and calls sync_data() for BOTH modes, so the two
#   are identical there by construction -- NOT MEASURED HERE (no Linux host in this session).
#
# Commit latency is fully accounted for by page count x per-page barrier cost: predicted
#   ceil(b_commit*157/256)+3 pages x 8.005 ms/page reproduces the measured commit-put mean to
#   within 0.98x-1.29x across the whole sweep. The engine adds no measurable cost of its own.
#
# platform=host os=macos arch=aarch64 backend=FileFlash(file-backed NOR emulation) NOT_raspberry_pi NOT_esp32 NOT_real_NOR_flash
# geometry: capacity=8388608 page=256 block=4096 profile=Pi auto_b=false staleness_budget_ms=1000 n_keys=2048 val_len=100 n_distinct_keys=1000 n_puts=2000 n_gets=2000 reps=3
# durability=Full is F_FULLFSYNC on macOS; durability=OsCache is sync_data (benchmark-only). commit-bearing puts identified by acked_seq() advancing, not by timing.
# stats columns are the post-put-phase snapshot, taken before the explicit flush commit.
# realized_puts_per_commit = acked_seq/commits, NOT n_puts/commits: the trailing partial batch is never flushed, and dividing by n_puts reports a batch larger than b_commit (133.3 at b_commit=128) purely from that tail. Asserted to within 0.5 of b_commit.
# CAVEAT, engine bug found while measuring: user_bytes is DOUBLE-COUNTED. Slate::append_hot adds (REC_OVERHEAD+key+val) and Db::put adds the same amount again for the same record, so every user_bytes below -- and any write amplification derived from it -- is exactly 2x too large. parity_bytes and marker_bytes are unaffected. Independently confirmed in slate-kv-sim by the same 2.0 ratio.
# get latency is served from the mounted volume with the index resident in RAM; the get phase follows an explicit commit, so no key is read out of the in-RAM batch. It is a warm path and includes no mount or replay cost.
# one row per (durability, b_commit, rep); rep is an independent freshly-formatted volume.
#
# Sections, each with its own header row:
#   [per_run]  one row per (durability, b_commit, rep) -- 3 independent freshly-formatted volumes
#   [summary_by_b_commit]  the same data aggregated over the 3 reps, with rep-to-rep CV
#   [flash_barrier_calibration]  per-page HAL cost with no engine, from paper_flash_calib
# Empty put_noncommit_* fields at b_commit=1 are a genuinely empty sample (every put commits),
#   deliberately left blank rather than filled with a placeholder zero.
[per_run]
durability,b_commit,rep,put_ops,put_wall_s,put_ops_per_s,put_all_n,put_all_mean_us,put_all_p50_us,put_all_p90_us,put_all_p99_us,put_all_max_us,put_commit_n,put_commit_mean_us,put_commit_p50_us,put_commit_p90_us,put_commit_p99_us,put_commit_max_us,put_noncommit_n,put_noncommit_mean_us,put_noncommit_p50_us,put_noncommit_p90_us,put_noncommit_p99_us,put_noncommit_max_us,get_ops,get_hits,get_wall_s,get_ops_per_s,get_n,get_mean_us,get_p50_us,get_p90_us,get_p99_us,get_max_us,commits,wakes,realized_puts_per_commit,acked_seq,live_keys,user_bytes,parity_bytes,marker_bytes,gc_bytes,ckpt_bytes,erases,gc_relocated
Full,1,0,2000,65.813029,30.4,2000,32905.888,32030.875,36049.000,44029.083,67046.459,2000,32905.888,32030.875,36049.000,44029.083,67046.459,,,,,,,2000,2000,0.012150,164604.5,2000,5.949,5.417,6.792,13.000,207.416,2000,2000,1.0000,2000,1000,628000,512000,1024000,0,0,0,0
Full,1,1,2000,63.080031,31.7,2000,31539.247,32014.583,34989.500,40969.584,79719.416,2000,31539.247,32014.583,34989.500,40969.584,79719.416,,,,,,,2000,2000,0.012976,154134.2,2000,6.347,5.750,7.375,17.125,264.042,2000,2000,1.0000,2000,1000,628000,512000,1024000,0,0,0,0
Full,1,2,2000,67.400032,29.7,2000,33699.356,32022.333,39057.584,62350.167,504798.292,2000,33699.356,32022.333,39057.584,62350.167,504798.292,,,,,,,2000,2000,0.011928,167666.3,2000,5.806,4.500,7.666,19.167,103.083,2000,2000,1.0000,2000,1000,628000,512000,1024000,0,0,0,0
Full,2,0,2000,46.905979,42.6,2000,23451.561,357.208,47995.833,79347.292,677261.541,1000,46886.388,41975.542,51967.250,93958.834,677261.541,1000,16.734,13.625,22.459,81.542,357.208,2000,2000,0.015272,130954.3,2000,7.478,6.250,7.583,20.959,1734.875,1000,1000,2.0000,2000,1000,628000,256000,512000,0,0,0,0
Full,2,1,2000,39.661885,50.4,2000,19830.535,200.041,42971.458,51824.292,67000.000,1000,39648.625,38926.083,45890.791,53950.375,67000.000,1000,12.444,10.583,22.042,71.042,200.041,2000,2000,0.006802,294047.4,2000,3.328,2.542,6.042,8.458,389.000,1000,1000,2.0000,2000,1000,628000,256000,512000,0,0,0,0
Full,2,2,2000,39.923989,50.1,2000,19961.261,690.291,43112.542,53701.000,66005.542,1000,39906.932,38961.000,46667.000,57493.917,66005.542,1000,15.590,11.167,21.166,101.792,690.291,2000,2000,0.007675,260586.3,2000,3.746,2.667,6.458,13.125,126.208,1000,1000,2.0000,2000,1000,628000,256000,512000,0,0,0,0
Full,4,0,2000,24.058050,83.1,2000,12028.503,10.125,48040.292,60110.500,109060.917,500,48070.961,46865.125,56440.167,66817.791,109060.917,1500,14.351,6.667,20.458,70.625,6394.000,2000,2000,0.011317,176719.4,2000,5.527,6.041,6.417,12.916,383.791,500,500,4.0000,2000,1000,628000,128000,256000,0,0,0,0
Full,4,1,2000,23.348986,85.7,2000,11674.127,10.000,47160.708,55197.292,65896.000,500,46670.309,46264.625,52337.041,59834.333,65896.000,1500,8.733,5.041,19.375,51.792,231.250,2000,2000,0.010593,188795.7,2000,5.149,4.500,6.292,25.750,255.458,500,500,4.0000,2000,1000,628000,128000,256000,0,0,0,0
Full,4,2,2000,23.089083,86.6,2000,11544.053,9.833,46976.166,54921.750,66261.416,500,46147.727,45813.250,51931.375,59811.125,66261.416,1500,9.495,4.834,16.791,57.167,480.417,2000,2000,0.008865,225606.3,2000,4.336,2.917,6.250,13.583,458.791,500,500,4.0000,2000,1000,628000,128000,256000,0,0,0,0
Full,8,0,2000,16.268124,122.9,2000,8133.808,5.209,58892.375,75866.250,90817.208,250,65004.344,64799.292,74025.417,81871.459,90817.208,1750,9.446,4.417,15.416,70.042,961.209,2000,2000,0.005657,353546.8,2000,2.757,2.500,2.709,5.291,70.458,250,250,8.0000,2000,1000,628000,64000,128000,0,0,0,0
Full,8,1,2000,17.519790,114.2,2000,8759.584,5.667,63992.958,80198.792,115806.375,250,70017.813,68266.958,79589.291,93912.166,115806.375,1750,8.408,4.708,13.000,53.875,600.875,2000,2000,0.010534,189863.7,2000,5.115,4.541,6.292,12.083,146.167,250,250,8.0000,2000,1000,628000,64000,128000,0,0,0,0
Full,8,2,2000,17.934280,111.5,2000,8966.891,9.417,64027.333,77699.125,407657.459,250,71675.321,68054.708,75873.666,140653.375,407657.459,1750,8.544,5.542,13.334,48.583,206.125,2000,2000,0.013582,147255.5,2000,6.626,6.167,7.250,17.500,203.833,250,250,8.0000,2000,1000,628000,64000,128000,0,0,0,0
Full,16,0,2000,16.324227,122.5,2000,8161.905,5.083,21.958,134966.500,711674.417,125,130464.176,118967.750,140073.000,618537.042,711674.417,1875,8.420,4.625,12.958,53.334,319.000,2000,2000,0.011260,177621.9,2000,5.478,6.042,6.458,12.166,77.125,125,125,16.0000,2000,1000,628000,32000,64000,0,0,0,0
