# Command: cargo run --release -p slate-kv-sim --bin wa_study_paper > docs/porposal/data/wa_study.csv
# Sweep: u_target in {0.5,0.6,0.7,0.8,0.9} x Zipf s in {0.0,0.6,0.9,1.2} x 4 GC arms x seeds {1,2,3} = 240 rows.
# Geometry: FIXED capacity cap_ref_segs=64, seg_recs=64 => 4096 records; n_keys=round(u_target*4096); n_ops=100000 after initial fill.
# realized_u = live_keys/cap_records, read out of simulator state (measured, not derived from u_target).
# wa_steady = WA over the SECOND HALF of n_ops only (excludes initial-fill transient); wa_all = whole post-fill run.
# Arms: single (1 head); hot_cold (2 heads, SAME gross capacity); hot_cold_net (+1 seg, matches allocator-reachable capacity); hot_cold_extra2 (+2 segs, reproduces the original harness's unmatched advantage).
# bound_1_over_1_minus_u = 1/(1-realized_u) using GROSS u; bound_net = 1/(1-realized_u_net) where realized_u_net excludes the GC reserve segments.
# degenerate=true means GC starved or hit its progress guard; such rows are not valid measurements. 0 degenerate rows in this file.
# Platform: macOS 26.5.2 / arm64 / 12 cores / 24 GiB. PURE IN-PROCESS GC MODEL - no flash backend (not FileFlash, not SimFlash), not the SLATE engine.
# Model limits: no RS(12,8) parity, no commit markers, no checkpoints, no encryption. rs_parity_factor=(RS_K+RS_M)/RS_K=1.5000 from crates/slate-kv-erasure/src/lib.rs (RS_K=8, RS_M=4, RS_N=12); column wa_steady_with_rs_parity = wa_steady*1.5.
u_target,s,gc_type,seed,capacity_matched,cap_ref_segs,cap_segs,cap_records,net_records,n_keys,live_keys,realized_u,realized_u_net,wa_all,wa_steady,bound_1_over_1_minus_u,bound_ok,bound_excess_pct,bound_net,bound_net_ok,wa_steady_with_rs_parity,degenerate,victim_live_frac,gc_calls,victims,guard_hits,starves
0.50,0.0,single,1,reference,64,64,4096,3968,2048,2048,0.5000,0.5161,1.2774,1.2851,2.0000,true,-35.74,2.0667,true,1.9277,false,0.2205,983,1966,0,0
0.50,0.0,single,2,reference,64,64,4096,3968,2048,2048,0.5000,0.5161,1.2771,1.2842,2.0000,true,-35.79,2.0667,true,1.9263,false,0.2202,983,1966,0,0
0.50,0.0,single,3,reference,64,64,4096,3968,2048,2048,0.5000,0.5161,1.2754,1.2812,2.0000,true,-35.94,2.0667,true,1.9218,false,0.2193,981,1962,0,0
0.50,0.0,hot_cold,1,gross,64,64,4096,3904,2048,2048,0.5000,0.5246,1.2786,1.2852,2.0000,true,-35.74,2.1034,true,1.9278,false,0.2211,1534,1969,0,0
0.50,0.0,hot_cold,2,gross,64,64,4096,3904,2048,2048,0.5000,0.5246,1.2786,1.2840,2.0000,true,-35.80,2.1034,true,1.9261,false,0.2211,1534,1969,0,0
0.50,0.0,hot_cold,3,gross,64,64,4096,3904,2048,2048,0.5000,0.5246,1.2786,1.2828,2.0000,true,-35.86,2.1034,true,1.9242,false,0.2211,1534,1969,0,0
0.50,0.0,hot_cold_net,1,net,64,65,4160,3968,2048,2048,0.4923,0.5161,1.2648,1.2719,1.9697,true,-35.43,2.0667,true,1.9079,false,0.2126,1533,1946,0,0
0.50,0.0,hot_cold_net,2,net,64,65,4160,3968,2048,2048,0.4923,0.5161,1.2639,1.2698,1.9697,true,-35.53,2.0667,true,1.9047,false,0.2120,1533,1945,0,0
0.50,0.0,hot_cold_net,3,net,64,65,4160,3968,2048,2048,0.4923,0.5161,1.2636,1.2680,1.9697,true,-35.62,2.0667,true,1.9020,false,0.2119,1533,1944,0,0
0.50,0.0,hot_cold_extra2,1,none,64,66,4224,4032,2048,2048,0.4848,0.5079,1.2492,1.2547,1.9412,true,-35.36,2.0323,true,1.8820,false,0.2027,1532,1921,0,0
0.50,0.0,hot_cold_extra2,2,none,64,66,4224,4032,2048,2048,0.4848,0.5079,1.2493,1.2560,1.9412,true,-35.29,2.0323,true,1.8841,false,0.2028,1532,1921,0,0
0.50,0.0,hot_cold_extra2,3,none,64,66,4224,4032,2048,2048,0.4848,0.5079,1.2493,1.2538,1.9412,true,-35.41,2.0323,true,1.8807,false,0.2028,1532,1921,0,0
0.60,0.0,single,1,reference,64,64,4096,3968,2458,2458,0.6001,0.6195,1.5291,1.5374,2.5006,true,-38.52,2.6278,true,2.3061,false,0.3494,1183,2366,0,0
0.60,0.0,single,2,reference,64,64,4096,3968,2458,2458,0.6001,0.6195,1.5285,1.5338,2.5006,true,-38.66,2.6278,true,2.3007,false,0.3493,1182,2364,0,0
0.60,0.0,single,3,reference,64,64,4096,3968,2458,2458,0.6001,0.6195,1.5286,1.5348,2.5006,true,-38.62,2.6278,true,2.3022,false,0.3494,1182,2364,0,0
0.60,0.0,hot_cold,1,gross,64,64,4096,3904,2458,2458,0.6001,0.6296,1.5349,1.5444,2.5006,true,-38.24,2.6999,true,2.3166,false,0.3519,1540,2375,0,0
0.60,0.0,hot_cold,2,gross,64,64,4096,3904,2458,2458,0.6001,0.6296,1.5361,1.5418,2.5006,true,-38.34,2.6999,true,2.3127,false,0.3524,1540,2377,0,0
0.60,0.0,hot_cold,3,gross,64,64,4096,3904,2458,2458,0.6001,0.6296,1.5381,1.5443,2.5006,true,-38.24,2.6999,true,2.3165,false,0.3533,1540,2380,0,0
0.60,0.0,hot_cold_net,1,net,64,65,4160,3968,2458,2458,0.5909,0.6195,1.5048,1.5135,2.4442,true,-38.08,2.6278,true,2.2703,false,0.3390,1539,2327,0,0
0.60,0.0,hot_cold_net,2,net,64,65,4160,3968,2458,2458,0.5909,0.6195,1.5023,1.5080,2.4442,true,-38.30,2.6278,true,2.2620,false,0.3379,1539,2323,0,0
0.60,0.0,hot_cold_net,3,net,64,65,4160,3968,2458,2458,0.5909,0.6195,1.5061,1.5137,2.4442,true,-38.07,2.6278,true,2.2706,false,0.3396,1539,2329,0,0
0.60,0.0,hot_cold_extra2,1,none,64,66,4224,4032,2458,2458,0.5819,0.6096,1.4751,1.4850,2.3918,true,-37.92,2.5616,true,2.2274,false,0.3256,1538,2280,0,0
0.60,0.0,hot_cold_extra2,2,none,64,66,4224,4032,2458,2458,0.5819,0.6096,1.4739,1.4771,2.3918,true,-38.24,2.5616,true,2.2157,false,0.3251,1538,2278,0,0
0.60,0.0,hot_cold_extra2,3,none,64,66,4224,4032,2458,2458,0.5819,0.6096,1.4770,1.4848,2.3918,true,-37.92,2.5616,true,2.2272,false,0.3265,1538,2283,0,0
