# Command: for N in 25000 50000 100000 200000 400000; do SLATE_WA_NOPS=$N ./target/release/wa_study_paper > /tmp/conv_$N.csv; done  (binary built by: cargo build --release -p slate-kv-sim --bin wa_study_paper)
# Steady-state convergence check: does wa_steady depend on run length? Aggregated over seeds {1,2,3} at fixed capacity cap_ref_segs=64, seg_recs=64.
# Largest |relative change| from n_ops=200000 to 400000 across all 80 (u,s,arm) configs is reported in the task output; it is well under 1%.
# Platform: macOS 26.5.2 / arm64 / 12 cores / 24 GiB. Pure in-process GC model - not the SLATE engine, no flash backend.
n_ops,u_target,s,gc_type,wa_steady_mean,wa_steady_std,realized_u,n_seeds
25000,0.5,0.0,hot_cold,1.2853,0.00185,0.5,3
50000,0.5,0.0,hot_cold,1.281,0.00231,0.5,3
100000,0.5,0.0,hot_cold,1.284,0.0012,0.5,3
200000,0.5,0.0,hot_cold,1.283,0.00118,0.5,3
400000,0.5,0.0,hot_cold,1.2818,0.00099,0.5,3
25000,0.6,0.0,hot_cold,1.5376,0.00478,0.6001,3
50000,0.6,0.0,hot_cold,1.5433,0.00514,0.6001,3
100000,0.6,0.0,hot_cold,1.5435,0.00147,0.6001,3
200000,0.6,0.0,hot_cold,1.5437,0.00153,0.6001,3
400000,0.6,0.0,hot_cold,1.5416,0.00047,0.6001,3
25000,0.7,0.0,hot_cold,2.01,0.0075,0.7,3
50000,0.7,0.0,hot_cold,2.0167,0.00296,0.7,3
100000,0.7,0.0,hot_cold,2.0188,0.0025,0.7,3
200000,0.7,0.0,hot_cold,2.0169,0.00255,0.7,3
400000,0.7,0.0,hot_cold,2.0181,0.00186,0.7,3
25000,0.8,0.0,hot_cold,3.0739,0.01354,0.8,3
50000,0.8,0.0,hot_cold,3.0871,0.00685,0.8,3
100000,0.8,0.0,hot_cold,3.095,0.01289,0.8,3
200000,0.8,0.0,hot_cold,3.0943,0.00478,0.8,3
400000,0.8,0.0,hot_cold,3.0945,0.00092,0.8,3
25000,0.9,0.0,hot_cold,7.6814,0.04435,0.8999,3
50000,0.9,0.0,hot_cold,7.61,0.07881,0.8999,3
100000,0.9,0.0,hot_cold,7.6514,0.04887,0.8999,3
200000,0.9,0.0,hot_cold,7.6129,0.027,0.8999,3
400000,0.9,0.0,hot_cold,7.6241,0.00389,0.8999,3
25000,0.5,0.6,hot_cold,1.3757,0.00548,0.5,3
50000,0.5,0.6,hot_cold,1.3746,0.00301,0.5,3
100000,0.5,0.6,hot_cold,1.375,0.00346,0.5,3
