# Command: cargo run --release -p slate-kv-sim --bin wa_study_paper --capacity-sweep > docs/porposal/data/wa_study_matched.csv
# Capacity-sensitivity sweep: cap_ref_segs in {16,24,35,48,64,96,128} x u_target {0.5..0.9} x s {0.0,0.6,0.9,1.2} x 4 arms x seeds {1,2,3} = 1680 rows.
# Purpose: separate the utilisation effect from the CAPACITY effect. The original harness varied both together (its cap_segs fell 63->35 as u went 0.5->0.9).
# cap_ref_segs=35 reproduces the original harness's u=0.9 operating point and is where its 1/(1-u) bound violations live.
# Columns identical to wa_study.csv. FILTER degenerate==true BEFORE USE: at cap<=24 (and cap=35 for the 2-head arms) GC starves and WA is meaningless.
# Platform: macOS 26.5.2 / arm64 / 12 cores / 24 GiB. PURE IN-PROCESS GC MODEL - no flash backend (not FileFlash, not SimFlash), not the SLATE engine.
# Model limits: no RS(12,8) parity, no commit markers, no checkpoints, no encryption. rs_parity_factor=(RS_K+RS_M)/RS_K=1.5000 from crates/slate-kv-erasure/src/lib.rs (RS_K=8, RS_M=4, RS_N=12); column wa_steady_with_rs_parity = wa_steady*1.5.
u_target,s,gc_type,seed,capacity_matched,cap_ref_segs,cap_segs,cap_records,net_records,n_keys,live_keys,realized_u,realized_u_net,wa_all,wa_steady,bound_1_over_1_minus_u,bound_ok,bound_excess_pct,bound_net,bound_net_ok,wa_steady_with_rs_parity,degenerate,victim_live_frac,gc_calls,victims,guard_hits,starves
0.50,0.0,single,1,reference,16,16,1024,896,512,512,0.5000,0.5714,1.4671,1.4737,2.0000,true,-26.32,2.3333,true,2.2105,false,0.3192,1143,2286,0,0
0.50,0.0,single,2,reference,16,16,1024,896,512,512,0.5000,0.5714,1.4668,1.4712,2.0000,true,-26.44,2.3333,true,2.2069,false,0.3191,1143,2286,0,0
0.50,0.0,single,3,reference,16,16,1024,896,512,512,0.5000,0.5714,1.4636,1.4649,2.0000,true,-26.76,2.3333,true,2.1973,false,0.3177,1140,2280,0,0
0.50,0.0,hot_cold,1,gross,16,16,1024,832,512,512,0.5000,0.6154,1.4932,1.5001,2.0000,true,-24.99,2.6000,true,2.2502,false,0.3310,1558,2328,0,0
0.50,0.0,hot_cold,2,gross,16,16,1024,832,512,512,0.5000,0.6154,1.4888,1.4892,2.0000,true,-25.54,2.6000,true,2.2338,false,0.3291,1558,2321,0,0
0.50,0.0,hot_cold,3,gross,16,16,1024,832,512,512,0.5000,0.6154,1.4902,1.4915,2.0000,true,-25.43,2.6000,true,2.2372,false,0.3297,1558,2323,0,0
0.50,0.0,hot_cold_net,1,net,16,17,1088,896,512,512,0.4706,0.5714,1.3800,1.3852,1.8889,true,-26.67,2.3333,true,2.0778,false,0.2762,1557,2150,0,0
0.50,0.0,hot_cold_net,2,net,16,17,1088,896,512,512,0.4706,0.5714,1.3787,1.3793,1.8889,true,-26.98,2.3333,true,2.0690,false,0.2754,1557,2148,0,0
0.50,0.0,hot_cold_net,3,net,16,17,1088,896,512,512,0.4706,0.5714,1.3812,1.3827,1.8889,true,-26.80,2.3333,true,2.0740,false,0.2768,1557,2152,0,0
0.50,0.0,hot_cold_extra2,1,none,16,18,1152,960,512,512,0.4444,0.5333,1.3004,1.3047,1.8000,true,-27.52,2.1429,true,1.9570,false,0.2318,1556,2025,0,0
0.50,0.0,hot_cold_extra2,2,none,16,18,1152,960,512,512,0.4444,0.5333,1.3014,1.3026,1.8000,true,-27.64,2.1429,true,1.9538,false,0.2325,1556,2026,0,0
0.50,0.0,hot_cold_extra2,3,none,16,18,1152,960,512,512,0.4444,0.5333,1.3020,1.3027,1.8000,true,-27.63,2.1429,true,1.9540,false,0.2328,1556,2027,0,0
0.60,0.0,single,1,reference,16,16,1024,896,614,614,0.5996,0.6853,1.9243,1.9289,2.4976,true,-22.77,3.1773,true,2.8933,false,0.4811,1410,3002,0,0
0.60,0.0,single,2,reference,16,16,1024,896,614,614,0.5996,0.6853,1.9181,1.9237,2.4976,true,-22.98,3.1773,true,2.8855,false,0.4794,1410,2992,0,0
0.60,0.0,single,3,reference,16,16,1024,896,614,614,0.5996,0.6853,1.9216,1.9323,2.4976,true,-22.63,3.1773,true,2.8984,false,0.4803,1414,2998,0,0
0.60,0.0,hot_cold,1,gross,16,16,1024,832,614,614,0.5996,0.7380,1.9945,1.9974,2.4976,true,-20.03,3.8165,true,2.9961,false,0.4992,1560,3113,0,0
0.60,0.0,hot_cold,2,gross,16,16,1024,832,614,614,0.5996,0.7380,1.9931,1.9957,2.4976,true,-20.09,3.8165,true,2.9936,false,0.4988,1560,3111,0,0
0.60,0.0,hot_cold,3,gross,16,16,1024,832,614,614,0.5996,0.7380,1.9965,2.0000,2.4976,true,-19.92,3.8165,true,3.0000,false,0.4997,1560,3116,0,0
0.60,0.0,hot_cold_net,1,net,16,17,1088,896,614,614,0.5643,0.6853,1.7385,1.7441,2.2954,true,-24.02,3.1773,true,2.6162,false,0.4255,1559,2712,0,0
0.60,0.0,hot_cold_net,2,net,16,17,1088,896,614,614,0.5643,0.6853,1.7352,1.7395,2.2954,true,-24.22,3.1773,true,2.6092,false,0.4243,1559,2707,0,0
0.60,0.0,hot_cold_net,3,net,16,17,1088,896,614,614,0.5643,0.6853,1.7364,1.7362,2.2954,true,-24.36,3.1773,true,2.6043,false,0.4247,1559,2709,0,0
0.60,0.0,hot_cold_extra2,1,none,16,18,1152,960,614,614,0.5330,0.6396,1.5661,1.5708,2.1413,true,-26.64,2.7746,true,2.3561,false,0.3622,1558,2442,0,0
0.60,0.0,hot_cold_extra2,2,none,16,18,1152,960,614,614,0.5330,0.6396,1.5661,1.5706,2.1413,true,-26.65,2.7746,true,2.3559,false,0.3622,1558,2442,0,0
0.60,0.0,hot_cold_extra2,3,none,16,18,1152,960,614,614,0.5330,0.6396,1.5649,1.5685,2.1413,true,-26.75,2.7746,true,2.3527,false,0.3618,1558,2440,0,0
0.70,0.0,single,1,reference,16,16,1024,896,717,717,0.7002,0.8002,3.1328,3.1514,3.3355,true,-5.52,5.0056,true,4.7271,false,0.6812,1360,4892,0,0
0.70,0.0,single,2,reference,16,16,1024,896,717,717,0.7002,0.8002,3.1260,3.1340,3.3355,true,-6.04,5.0056,true,4.7011,false,0.6806,1362,4881,0,0
